,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
911,1024,4.0,51264,196.2096280779988,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,49
912,0,1.0,51264,196.29807609499767,"[np.int64(1), np.int64(0), np.int64(0), np.int64(1)]",75,1024,50
913,1,2.0,51266,196.39248314799988,"[np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",75,1024,50
914,2,6.0,51268,196.48666795799727,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,50
915,4,6.0,51270,196.5890858269995,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,50
916,8,6.0,51274,196.70471442299822,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,50
917,16,6.0,51282,196.8436671290001,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,50
918,32,6.0,51298,197.0297537639999,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,50
919,64,6.0,51330,197.32537450499876,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,50
920,128,6.0,51394,197.8226035819971,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,50
921,256,6.0,51522,198.70829808499911,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,50
922,512,6.0,51778,200.38910954299718,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,50
923,1024,6.0,52290,203.70007157500004,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,50
924,0,0.0,52290,203.79266412799916,"[np.int64(0), np.int64(1), np.int64(0), np.int64(1)]",75,1024,51
925,1,0.0,52291,203.88845785599915,"[np.int64(0), np.int64(1), np.int64(0), np.int64(1)]",75,1024,51
926,2,0.0,52292,203.98433784299777,"[np.int64(0), np.int64(1), np.int64(0), np.int64(1)]",75,1024,51
